module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Pencil Design Agent,pencil-design,Design Screen / Component / Iterate,DP,Design new screens and reusable components in Pencil canvas — screenshot verified before presenting.,DP,,anytime,,,false,{project-root}/pencil,.pen file with new screens
Pencil Design Agent,pencil-design,Polish Wireframe,PW,Transform Freya's wireframes into polished visual designs in the same .pen file.,PW,,anytime,,,false,{project-root}/pencil,.pen file with polished frames
Pencil Design Agent,pencil-design,Design from WDS,WS,Batch-generate all app screens from WDS scenario specs and trigger maps — skip the wireframe phase.,WS,[path: design-artifacts/ or _bmad-output/],anytime,,,false,{project-root}/pencil,.pen file with all screens
Pencil Design Agent,pencil-design,Generate Code,GC,Generate SwiftUI / React+Tailwind / HTML code from a Pencil design frame.,GC,[framework: swiftui|react|html],anytime,pencil-design:DP,,false,{project-root}/src,generated code
Pencil Design Agent,pencil-design,Code to Design,CD,Recreate existing source code as a Pencil design for visual iteration.,CD,,anytime,,,false,{project-root}/pencil,.pen file with imported design
Pencil Design Agent,pencil-design,Theme Variants,TV,Generate light/dark mode variants or alternative color schemes side by side.,TV,,anytime,pencil-design:DP,,false,{project-root}/pencil,.pen file with theme variants
Pencil Design Agent,pencil-design,Multi-Platform Compose,MP,Generate iPad / macOS / web variants from a mobile screen — recomposed not scaled.,MP,,anytime,pencil-design:DP,,false,{project-root}/pencil,.pen file with platform variants
Pencil Design Agent,pencil-design,Import Design,ID,Analyze existing .pen files to extract patterns tokens and component opportunities.,ID,,anytime,,,false,{project-root}/pencil,design system audit
Pencil Design Agent,pencil-design,Component Harvest,CH,Extract reusable components from existing screens and register them.,CH,,anytime,pencil-design:DP,,false,{project-root}/pencil,component-registry.md
Pencil Design Agent,pencil-design,Design Handoff + Component Docs,DH,Export screens and auto-generate component library documentation for developers.,DH,,anytime,pencil-design:DP,,false,{project-root}/_bmad-output/designs,PNG exports + component-catalog.md
Pencil Design Agent,pencil-design,Audit App,AA,Scan screens for design inconsistencies token drift and system violations.,AA,,anytime,pencil-design:DP,,false,{project-root}/pencil,audit report
Pencil Design Agent,pencil-design,Design Diff,DD,Compare two versions of a screen and show exactly what changed.,DD,,anytime,pencil-design:DP,,false,{project-root}/pencil,diff report
Pencil Design Agent,pencil-design,Accessibility Pre-Check,AC,WCAG audit on designs before code — contrast ratios touch targets and readability.,AC,,anytime,pencil-design:DP,,false,{project-root}/pencil,accessibility report
Pencil Design Agent,pencil-design,Design System Health,SH,Automated health check comparing design tokens with code tokens — detects drift.,SH,,anytime,,,false,{project-root}/pencil,health report
Pencil Design Agent,pencil-design,Responsive Preview,RP,Preview a screen at multiple device sizes to verify responsive behavior.,RP,,anytime,pencil-design:DP,,false,{project-root}/pencil,preview frames
Pencil Design Agent,pencil-design,Marketing Visual,MV,Design landing pages and marketing screens — orchestrates with marketing agents for content.,MV,,anytime,,,false,{project-root}/pencil,.pen file with marketing screens
Pencil Design Agent,pencil-design,Framer Motion,FM,Specify animations and generate Framer Motion React code alongside Pencil designs.,FM,[screen: frame name or id],anytime,pencil-design:DP,,false,{project-root}/src,Framer Motion code + animation spec
